综合娱乐,#genre#
亞洲旅遊台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=250
滾動力rollor,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=249
車迷TV,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=160
食尚玩家-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=348
女人我最大-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=347

知识纪录,#genre#

達文西頻道,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=11
Love Nature,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=139
History 歷史頻道,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=214
Global Trekker,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=252
視納華仁紀實頻道,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=38
MagellanTV頻道 (麥哲倫頻道) ,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=450
CI 罪案偵查頻道,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=215
影迷數位紀實台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=445

国际频道,#genre#

ARIRANG阿里郎頻道,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=189
FRANCE24 英文台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=316
NHK WORLD-JAPAN,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=461
DW德國之聲,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=226

财经商业,#genre#

東森財經新聞台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=293
SBN全球財經台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=224
CNBC Asia 財經台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=235
Bloomberg TV,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=283

其他,#genre#

鳳梨直擊台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=93
香蕉直擊台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=94
INULTRA,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=444
HahaTai 哈哈台-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=466

体育频道,#genre#

TRACE Sport Stars,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=57
時尚運動X,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=69
GINX Esports TV,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=179
智林體育台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=58

购物频道,#genre#

東森購物一台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=173
東森購物二台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=174
東森購物三台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=287
東森購物四台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=286

戏剧频道,#genre#

TVBS台劇台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=285
民視影劇台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=24
八大精彩台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=172
靖天戲劇台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=116
靖洋戲劇台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=118
公視戲劇,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=7
霹靂布袋戲,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=301
